year,series,value
2000,OTHER INTERNATIONAL,517889110
2001,OTHER INTERNATIONAL,604212300
2002,OTHER INTERNATIONAL,781999598.9
2003,OTHER INTERNATIONAL,1080404665
2004,OTHER INTERNATIONAL,1305049092
2005,OTHER INTERNATIONAL,1801040550
2006,OTHER INTERNATIONAL,1932533907
2007,OTHER INTERNATIONAL,1937326721
2008,OTHER INTERNATIONAL,3571360920
2009,OTHER INTERNATIONAL,3416074113
2010,OTHER INTERNATIONAL,2953688813
2011,OTHER INTERNATIONAL,2944762651
2012,OTHER INTERNATIONAL,2997922872
2013,OTHER INTERNATIONAL,2787047449
2014,OTHER INTERNATIONAL,2560665120
2015,OTHER INTERNATIONAL,2168990291
2016,OTHER INTERNATIONAL,1968600000
2017,OTHER INTERNATIONAL,1822420000
2018,OTHER INTERNATIONAL,1688966213
2019,OTHER INTERNATIONAL,1460624933
2020,OTHER INTERNATIONAL,1348000000
2021,OTHER INTERNATIONAL,1270250000
2022,OTHER INTERNATIONAL,1117560000
2023,OTHER INTERNATIONAL,1154000000
2000,GLOBAL FUND,0
2001,GLOBAL FUND,0
2002,GLOBAL FUND,442572.89
2003,GLOBAL FUND,123515554.8
2004,GLOBAL FUND,367604314.3
2005,GLOBAL FUND,593121870.2
2006,GLOBAL FUND,709942702.2
2007,GLOBAL FUND,1092973887
2008,GLOBAL FUND,1493790000
2009,GLOBAL FUND,1442280000
2010,GLOBAL FUND,1607848319
2011,GLOBAL FUND,1493878602
2012,GLOBAL FUND,1787902516
2013,GLOBAL FUND,2130434747
2014,GLOBAL FUND,1524696000
2015,GLOBAL FUND,1769883600
2016,GLOBAL FUND,1863540000
2017,GLOBAL FUND,2055000000
2018,GLOBAL FUND,1649486000
2019,GLOBAL FUND,1780000000
2020,GLOBAL FUND,2077000000
2021,GLOBAL FUND,2485000000
2022,GLOBAL FUND,2360000000
2023,GLOBAL FUND,2230000000
2000,UNITED STATES BILATERAL,500000000
2001,UNITED STATES BILATERAL,618120000
2002,UNITED STATES BILATERAL,675057118.1
2003,UNITED STATES BILATERAL,1038642012
2004,UNITED STATES BILATERAL,1093001010
2005,UNITED STATES BILATERAL,1803289640
2006,UNITED STATES BILATERAL,2382208093
2007,UNITED STATES BILATERAL,2902611600
2008,UNITED STATES BILATERAL,3741094035
2009,UNITED STATES BILATERAL,4242033936
2010,UNITED STATES BILATERAL,3546847432
2011,UNITED STATES BILATERAL,4299548457
2012,UNITED STATES BILATERAL,4625573275
2013,UNITED STATES BILATERAL,5025680291
2014,UNITED STATES BILATERAL,4927137540
2015,UNITED STATES BILATERAL,4451494200
2016,UNITED STATES BILATERAL,4464030000
2017,UNITED STATES BILATERAL,5343400000
2018,UNITED STATES BILATERAL,5290000000
2019,UNITED STATES BILATERAL,5094000000
2020,UNITED STATES BILATERAL,5027220000
2021,UNITED STATES BILATERAL,4817120000
2022,UNITED STATES BILATERAL,4836000000
2023,UNITED STATES BILATERAL,4660000000
2000,DOMESTIC PUBLIC PRIVATE,4068383855
2001,DOMESTIC PUBLIC PRIVATE,3810350925
2002,DOMESTIC PUBLIC PRIVATE,3893839523
2003,DOMESTIC PUBLIC PRIVATE,4338087188
2004,DOMESTIC PUBLIC PRIVATE,4820425237
2005,DOMESTIC PUBLIC PRIVATE,5100933979
2006,DOMESTIC PUBLIC PRIVATE,5632826170
2007,DOMESTIC PUBLIC PRIVATE,6745037734
2008,DOMESTIC PUBLIC PRIVATE,7681515529
2009,DOMESTIC PUBLIC PRIVATE,7464968701
2010,DOMESTIC PUBLIC PRIVATE,8584197761
2011,DOMESTIC PUBLIC PRIVATE,10282064134
2012,DOMESTIC PUBLIC PRIVATE,10969512611
2013,DOMESTIC PUBLIC PRIVATE,11319196374
2014,DOMESTIC PUBLIC PRIVATE,12067395711
2015,DOMESTIC PUBLIC PRIVATE,12708670925
2016,DOMESTIC PUBLIC PRIVATE,12736638947
2017,DOMESTIC PUBLIC PRIVATE,13705575779
2018,DOMESTIC PUBLIC PRIVATE,13343007006
2019,DOMESTIC PUBLIC PRIVATE,13298350195
2020,DOMESTIC PUBLIC PRIVATE,13068000000
2021,DOMESTIC PUBLIC PRIVATE,12810000000
2022,DOMESTIC PUBLIC PRIVATE,12514000000
2023,DOMESTIC PUBLIC PRIVATE,11785000000